20;20;
0;0;4;
0;2;2;
0;6;2;
0;11;2;
1;4;2;
1;8;2;
1;14;2;
1;16;2;
2;0;2;
2;1;2;
2;2;2;
2;3;2;
2;4;2;
2;5;2;
2;6;2;
2;7;2;
2;8;2;
2;11;2;
2;12;2;
2;13;2;
2;14;2;
2;16;2;
2;17;2;
2;18;2;
2;19;2;
3;1;2;
3;14;2;
3;17;2;
4;1;2;
4;3;2;
4;6;2;
4;17;2;
5;3;2;
5;6;2;
5;9;2;
5;10;2;
5;11;2;
5;12;2;
5;13;2;
5;14;2;
5;17;2;
6;0;2;
6;1;2;
6;2;2;
6;3;2;
6;4;2;
6;6;2;
6;12;2;
7;6;2;
7;9;2;
7;10;2;
7;12;2;
7;14;2;
7;16;2;
7;18;2;
7;19;2;
8;1;2;
8;2;2;
8;3;2;
8;4;2;
8;5;2;
8;6;2;
8;7;2;
8;8;2;
8;9;2;
8;12;2;
8;16;2;
9;1;2;
9;8;2;
9;11;2;
9;12;2;
9;13;2;
9;14;2;
9;15;2;
9;16;2;
9;17;2;
9;19;2;
10;1;2;
10;2;2;
10;3;2;
10;4;2;
10;5;2;
10;6;2;
10;7;2;
10;8;2;
10;12;2;
11;8;2;
11;10;2;
11;12;2;
11;14;2;
11;15;2;
11;16;2;
11;18;2;
11;19;2;
12;0;2;
12;1;2;
12;2;2;
12;3;2;
12;5;2;
12;6;2;
12;7;2;
12;8;2;
12;10;2;
12;15;2;
13;5;2;
13;8;2;
13;10;2;
13;13;2;
13;15;2;
13;16;2;
13;17;2;
13;18;2;
14;1;2;
14;4;2;
14;5;2;
14;8;2;
14;9;2;
14;10;2;
14;11;2;
14;12;2;
14;13;2;
14;14;2;
14;15;2;
15;1;2;
15;2;2;
15;5;2;
15;10;2;
15;17;2;
16;1;2;
16;8;2;
16;10;2;
16;14;2;
16;17;2;
17;0;2;
17;1;2;
17;2;2;
17;3;2;
17;5;2;
17;6;2;
17;8;2;
17;10;2;
17;11;2;
17;12;2;
17;13;2;
17;14;2;
17;17;2;
17;18;2;
18;2;2;
18;6;2;
18;8;2;
18;12;2;
18;17;2;
19;6;2;
19;8;2;
19;12;1;
19;17;2;
